,index,x,y,cluster
204,ZNF496:P1P2,-31.768826,93.852165,24
205,ZNF518B:P1P2,61.98374,-54.66489,23
206,ZNF530:P1P2,25.354755,0.35809508,25
207,ZNF532:P1,-52.193996,-25.092878,11
208,ZNF532:P2,-54.62078,-25.171244,11
209,ZNF541:P1P2,-9.382459,-50.685352,12
210,ZNF580:P2,25.092373,3.6869261,25
211,ZNF598:P1P2,5.6249323,23.377533,12
212,ZNF608:P1,30.611996,-72.29911,2
213,ZNF618:P1P2,60.84887,-22.908947,12
214,ZNF649:P1P2,28.632719,-63.9514,2
215,ZNF671:P1P2,29.827324,-66.22367,12
216,ZNF688:P1P2,72.47126,-1.6951419,25
217,ZNF718:ENST00000400172.3,-51.16298,-26.30007,11
218,ZNF787:P1P2,-84.856895,43.84139,8
219,ZNF814:P1P2,28.229715,-57.437824,2
220,ZNF844:P1P2,-8.450013,-48.469673,12
221,ZNF8:P1P2,58.923077,-19.456068,12
222,ZNF91:P1P2,-17.377213,-45.575947,12
223,ZSCAN10:P1P2,-83.19661,71.55674,14
224,ZSCAN20:P1P2,-46.557842,-44.64343,11
225,ZSCAN32:P1P2,-8.839516,-62.5835,12
